# 0 AG5GX  9/25/2016 v0.5 quick build kit.
#  USB   AMPL  PHASE
 3.650   -11   -9 
 5.250   -18   -15
 7.100   -25   -15
10.100   -35   -18
14.100   -49   -24
18.110   -67   -34
21.200   -76   -36
24.930   -82   -40
28.500   -85   -56


# 1 PA3CCE Apr 8 
#       LSB A    P     LSB A   P
 3.000      5    2        5    1
 5.000     11    5       11    4
 7.000     17    8       18    7
10.000     19   14       20   13
14.000     30   22       28   22
21.000     50   38       54   37
24.000     58   52       58   50
28.000     63   65       63   65


# 2 DD4WH  Apr 10
#      A      P       A     P
 2.500 -14   -20 LSB -14   -20 USB
 4.000 -13   -19 LSB -12   -19 USB
 8.000 -13   -20 LSB -13   -20 USB
12.000 -20   -34 LSB -23   -23 USB
16.000 -16   -30 LSB -16   -27 USB
21.000 -24   -31 LSB -25   -29 USB
24.000 -34   -49 LSB -35   -44 USB
28.000 -37   -55 LSB -38   -46 USB


# 3 DD4HW Apr 10 remove U12,13 0R for R22-R24
#
 2.5.0 -10   -22 LSB  -7   -22 USB
 4.000 -11   -24 LSB  -4   -23 USB
 8.000  -3   -29 LSB   2   -28 USB
12.000   2   -33 LSB   5   -33 USB
16.000  11   -31 LSB  14   -31 USB
21.000   4   -44 LSB   7   -43 USB
24.000   5   -72 LSB   7   -72 USB
28.000  33   -56 LSB  35   -56 USB



# 4 PA3CCE May 22 v0.5
#   USB A  P    LSB A   P
 3.650   10 -15      10 -14
 5.250   20 -14      18 -10
 7.100   22 -11      18  -8
10.100   22  -5      22  -5
14.100   35   1      32   1
18.690   42  15      38  17
21.200   54  16      53  17
24.890   63  22      61  22
28.500   69  52      69  52


## EOF
